PID,Time,TrialIndex,Visualisation,PosX,PosY,PosZ,RotY
2,446.3681,0,1,-5.704599,2.781814,4.204981,140.9636
2,446.4788,0,1,-5.6099,2.781832,4.021645,142.1043
2,446.5906,0,1,-5.549597,2.782405,3.834832,141.7092
2,446.7013,0,1,-5.51288,2.783303,3.635207,140.2275
2,446.8127,0,1,-5.48619,2.78349,3.429838,137.525
2,446.9238,0,1,-5.452439,2.783512,3.226791,133.318
2,447.0347,0,1,-5.403378,2.78332,3.026557,129.2534
2,447.1452,0,1,-5.341636,2.783096,2.830272,125.6721
2,447.2549,0,1,-5.268295,2.78362,2.639226,121.8625
2,447.3656,0,1,-5.178309,2.784166,2.454169,117.0638
2,447.4766,0,1,-5.071115,2.784407,2.275568,111.956
2,447.5876,0,1,-4.949647,2.78431,2.10617,106.5989
2,447.6973,0,1,-4.817624,2.784245,1.945934,103.2438
2,447.8081,0,1,-4.684914,2.78352,1.780248,104.6819
2,447.9192,0,1,-4.561415,2.783647,1.604093,108.4365
2,448.0306,0,1,-4.436965,2.784116,1.427901,111.7306
2,448.1422,0,1,-4.281038,2.784007,1.278873,114.2577
2,448.2532,0,1,-4.130757,2.783731,1.127454,114.5962
2,448.3644,0,1,-4.008807,2.783306,0.9555545,113.1273
2,448.4755,0,1,-3.907839,2.782224,0.7722425,110.8323
2,448.5867,0,1,-3.804533,2.781963,0.5892725,109.8076
2,448.6974,0,1,-3.707989,2.781725,0.4021635,110.4339
2,448.8087,0,1,-3.633662,2.781432,0.2030268,111.5368
2,448.9201,0,1,-3.570243,2.781416,-0.0002660751,112.2187
2,449.0313,0,1,-3.501964,2.781079,-0.20086,112.1257
2,449.1428,0,1,-3.419636,2.780735,-0.3958864,111.6714
2,449.2538,0,1,-3.301686,2.780729,-0.5652857,111.7896
2,449.3651,0,1,-3.146908,2.780885,-0.7092104,111.9787
2,449.4767,0,1,-3.017574,2.780786,-0.8771181,111.8892
2,449.5875,0,1,-2.896675,2.780992,-1.049396,111.5828
2,449.6989,0,1,-2.776238,2.78077,-1.223847,111.3944
