Visualisation,n,Mean,Median,SD,Min,Max,Range
Arrow,81,0.92,0.94,0.32,0.21,1.55,1.34
Radar,81,0.92,0.88,0.36,0.24,1.81,1.58
Lights,81,1.01,0.82,0.9,0.06,7.1,7.04
Arrow & Radar,81,1.13,1.17,0.35,0.34,2.16,1.82
Arrow & Lights,81,1.2,1.13,0.74,0.21,6.38,6.17
Lights & Radar,81,1.18,1.17,0.35,0.35,2.61,2.26
