Visualisation,n,Mean,Median,SD,Min,Max,Range
Arrow,84,0.69,0.74,0.18,0.06,0.94,0.88
Radar,84,0.59,0.66,0.26,0.0,0.96,0.96
Lights,84,0.51,0.57,0.28,0.0,0.91,0.91
Arrow & Radar,84,0.68,0.74,0.23,0.01,0.97,0.95
Arrow & Lights,84,0.74,0.79,0.2,0.02,0.96,0.95
Lights & Radar,84,0.61,0.65,0.23,0.0,0.93,0.93
Control,84,0.52,0.53,0.22,0.0,0.92,0.92
