Visualisation,n,Mean,Median,SD,Min,Max,Range
Arrow,10,3.53,3.83,1.48,1.0,5.33,4.33
Radar,10,2.9,2.17,1.52,1.33,5.67,4.33
Lights,10,3.07,3.33,1.49,1.0,5.67,4.67
Arrow and Radar,10,3.83,4.33,1.43,2.0,5.33,3.33
Arrow and Lights,10,4.0,3.83,0.96,3.0,5.33,2.33
Lights and Radar,10,3.3,3.33,0.96,1.33,4.33,3.0
Control,10,2.8,2.17,1.87,1.0,6.0,5.0
