Visualisation,n,Mean,Median,SD,Min,Max,Range
Arrow,70,15.36,14.16,6.14,4.8,29.48,24.67
Radar,70,21.27,16.69,13.96,2.74,63.71,60.97
Lights,70,25.83,18.32,21.98,0.39,114.01,113.62
Arrow & Radar,70,16.04,14.78,6.74,2.41,43.05,40.64
Arrow & Lights,70,16.29,14.81,9.91,3.65,55.46,51.8
Lights & Radar,70,21.32,16.68,15.93,7.33,126.89,119.56
Control,70,24.27,22.94,10.76,0.9,53.42,52.52
