Visualisation,n,Mean,Median,SD,Min,Max,Range
Arrow,70,28.58,5.72,48.86,0.01,176.82,176.81
Radar,70,35.06,10.64,54.22,0.15,178.28,178.13
Lights,70,13.63,7.46,27.14,0.31,150.09,149.78
Arrow & Radar,70,31.12,8.28,53.34,0.11,179.4,179.29
Arrow & Lights,70,8.32,4.83,21.29,0.2,179.71,179.52
Lights & Radar,70,9.19,5.07,20.7,0.01,171.27,171.26
Control,70,24.04,11.81,35.71,0.41,176.63,176.22
