Visualisation,n,Mean,Median,SD,Min,Max,Range
Arrow,10,59.58,64.58,32.04,20.83,100.0,79.17
Radar,10,61.25,60.42,24.46,33.33,95.83,62.5
Lights,10,57.5,52.08,21.41,16.67,95.83,79.17
Arrow and Radar,10,67.5,60.42,26.04,37.5,100.0,62.5
Arrow and Lights,10,69.58,68.75,16.79,41.67,100.0,58.33
Lights and Radar,10,71.67,68.75,17.21,45.83,100.0,54.17
Control,10,45.0,47.92,15.69,8.33,62.5,54.17
