Visualisation,n,Mean,Median,SD,Min,Max,Range
Arrow,81,1.42,0.78,1.85,0.55,11.55,11.0
Radar,81,1.71,0.8,3.37,0.18,25.09,24.91
Lights,81,3.99,1.86,5.39,0.59,27.81,27.22
Arrow & Radar,81,2.44,0.78,4.93,0.25,25.55,25.3
Arrow & Lights,81,1.96,0.87,2.88,0.39,17.02,16.63
Lights & Radar,81,2.2,0.94,3.5,0.13,17.39,17.27
