PID,Time,TrialIndex,SpawnIndex,AudioIndex,AudioAngle,Angle Error,Distance,Response Time,Visualisation,DistanceTravelled,StraightLineDistance,NavDistance,Effectiveness,NavSpeed
48,1366.911,39,0,4,359.0768,0.9231567,1.947599,13.97034,Lights & Radar,16.58200151,15.41171947,15.53732,0.819546482,1.112164772
48,1380.813,40,2,3,359.735,0.2650452,2.142011,13.90234,Lights & Radar,17.59852579,18.85029175,18.85031,0.886367333,1.355909149
48,1390.003,41,0,12,353.4221,6.577911,2.914053,9.190552,Lights & Radar,8.594551225,10.83235036,10.83235,0.730986074,1.17863976
48,1841.167,42,2,5,141.3755,141.3755,0.8849781,24.15808,Control,29.1187397,20.00336647,20.12677,0.66080442,0.833127881
48,1865.281,43,1,7,27.90505,27.90505,1.251859,24.11389,Control,40.44809192,26.75173411,27.52101,0.649453404,1.14129284
48,1889.145,44,0,8,359.0254,0.9746399,2.73718,23.86414,Control,34.42947328,13.75549821,14.28306,0.335348726,0.598515597
48,1902.496,45,0,14,266.434,93.56604,0.9255402,13.35095,Control,20.09781948,14.70876836,15.26985,0.713724681,1.1437276
48,1923.809,46,0,13,15.79555,15.79555,2.275753,21.31311,Control,32.02775085,22.43657643,24.23453,0.685617204,1.137071502
48,1931.448,47,1,9,321.2021,38.79788,2.02739,7.638916,Control,8.343958465,6.228005817,6.228068,0.503439467,0.815307826
48,1947.268,48,1,3,116.6209,116.6209,1.051113,15.8197,Control,13.2945421,6.854255031,6.858387,0.436816399,0.43353458
49,260.9427,0,2,13,180.2891,179.7109,2.963961,7.663788,Arrow & Lights,0.122528654,3.02061583,3.020715,0.018788267,0.394154301
49,309.216,1,1,15,357.195,2.804993,2.622685,48.27332,Arrow & Lights,42.60549318,11.25664604,11.93059,0.218467252,0.247146664
49,340.8965,2,1,4,354.7597,5.240295,3.227971,31.68054,Arrow & Lights,45.35520395,23.75420377,25.48769,0.490786438,0.804521956
49,364.6038,3,2,0,9.709829,9.709829,3.064583,23.70721,Arrow & Lights,28.89349973,7.675431616,7.853677,0.165749876,0.331277995
49,383.3401,4,1,9,5.473327,5.473327,1.733711,18.7363,Arrow & Lights,16.97685843,6.228005817,6.228068,0.264734316,0.332406505
49,412.4102,5,1,0,1.069953,1.069953,2.383851,29.0701,Arrow & Lights,48.16702907,30.08991342,30.88056,0.591622725,1.062279112
49,430.53,6,1,12,346.9475,13.05249,1.610738,18.11984,Arrow & Lights,23.97242598,19.35120296,20.10522,0.771489795,1.1095694
49,673.6714,7,2,9,348.05,11.95001,1.076343,30.20959,Control,51.23181018,28.5234728,29.32231,0.551336502,0.970629194
49,699.2009,8,2,3,333.901,26.099,1.124445,25.52954,Control,42.4628272,18.85029175,18.85031,0.417444296,0.738372489
49,742.1276,9,0,13,323.6154,36.38458,1.883538,42.92664,Control,83.22345241,22.43657643,24.23453,0.268566027,0.564556881
49,757.6747,10,1,1,359.3335,0.6665344,0.9854631,15.54718,Control,26.07213711,16.47301878,16.47305,0.594028285,1.059552279
49,778.5245,11,0,14,0.9287151,0.9287151,1.620415,20.84979,Control,40.54536309,14.70876836,15.26985,0.336646017,0.732374283
49,804.3838,12,0,10,329.6131,30.3869,0.4586168,25.85925,Control,41.89047498,9.693735198,10.33092,0.235669402,0.399505786
49,819.8171,13,0,3,351.4268,8.573181,1.37616,15.43329,Control,19.82000791,5.111929384,5.111933,0.18848494,0.33122769
49,1007.63,14,0,2,354.7977,5.202332,0.8686224,11.67743,Lights,11.64087648,5.657425914,5.657426,0.411378267,0.484475266
49,1019.52,15,1,3,354.8873,5.112671,2.892514,11.89038,Lights,13.43399203,6.854255031,6.858387,0.295211802,0.57680133
49,1072.847,16,0,6,1.157952,1.157952,2.784292,53.32666,Lights,88.43098308,8.102084491,8.382174,0.06330227,0.15718543
49,1100.51,17,1,13,357.3717,2.628326,1.846401,27.66296,Lights,47.27360918,28.71565386,28.71983,0.568465777,1.038205239
49,1116.062,18,0,1,354.5726,5.427429,1.429802,15.55225,Lights,21.39541517,14.63824736,14.69847,0.620164082,0.945102477
49,1170.033,19,1,14,10.45879,10.45879,2.873843,53.97144,Lights,69.14772304,22.13832398,23.38436,0.296618834,0.433272857
49,1205.032,20,2,16,357.5514,2.448608,1.352445,34.99854,Lights,53.56335058,14.0365272,14.78909,0.2508552,0.422563055
49,81.01619,21,1,5,355.4256,4.574432,2.880701,19.58945,Lights & Radar,28.57778794,16.18571155,16.18574,0.465572739,0.826247802
49,105.2438,22,2,11,3.835765,3.835765,2.605187,24.22756,Lights & Radar,38.96800701,27.04462699,27.04746,0.627239494,1.116392241
49,120.6854,23,2,8,0.005951329,0.005951329,2.87833,15.44164,Lights & Radar,18.64333424,5.935021172,5.935041,0.163957314,0.384353022
49,136.3648,24,2,10,357.2027,2.797302,2.071402,15.67938,Lights & Radar,28.73620901,26.3349966,26.33501,0.844356609,1.679595112
49,158.2086,25,1,12,357.2345,2.765503,2.61561,21.84384,Lights & Radar,35.20141884,19.35120296,20.10522,0.496843894,0.920406852
49,196.4299,26,2,2,352.6025,7.397461,1.677418,38.22124,Lights & Radar,59.10221685,24.06458722,25.60812,0.404903628,0.669997101
49,210.137,27,1,15,3.403968,3.403968,2.412013,13.70712,Lights & Radar,22.34069396,11.25664604,11.93059,0.426064518,0.870393635
49,370.0089,28,1,1,10.57736,10.57736,2.860559,27.92935,Arrow,28.28068512,16.47301878,16.47305,0.481335263,0.589811435
49,384.5149,29,2,16,12.34355,12.34355,2.670009,14.50601,Arrow,20.06756086,14.0365272,14.78909,0.603914002,1.01951467
49,401.2612,30,2,9,359.9945,0.005493164,1.625064,16.74631,Arrow,30.68043233,28.5234728,29.32231,0.902765831,1.750971408
49,410.0991,31,2,12,13.2562,13.2562,1.967297,8.837891,Arrow,16.19855787,16.24539704,16.37395,0.879852021,1.852698794
49,421.1576,32,2,5,4.938692,4.938692,1.172023,11.05847,Arrow,19.59267225,20.00336647,20.12677,0.941767954,1.820032066
49,428.0792,33,0,11,2.508322,2.508322,1.597521,6.921631,Arrow,10.18021682,10.81691564,10.81692,0.852312766,1.562770393
49,448.8568,34,1,0,359.2431,0.7568665,1.757467,20.77759,Arrow,36.00515555,30.08991342,30.88056,0.808858969,1.486243592
49,584.8565,35,0,9,9.454095,9.454095,2.082473,26.77966,Arrow & Radar,29.70644188,9.159872362,9.282323,0.242366623,0.346618404
