sample,timestamp,angle
0,1771705061.4632535,342.0
1,1771705061.5711207,344.0
2,1771705061.6808608,342.0
3,1771705061.7831364,342.0
4,1771705061.9291027,344.0
5,1771705062.0499845,342.0
6,1771705062.1536365,342.0
7,1771705062.2568512,342.0
8,1771705062.3626478,342.0
9,1771705062.4626245,344.0
10,1771705062.5631397,342.0
11,1771705062.6740794,344.0
12,1771705062.78726,342.0
13,1771705062.8935728,344.0
14,1771705063.0073063,344.0
15,1771705063.1196265,342.0
16,1771705063.235196,342.0
17,1771705063.3403041,342.0
18,1771705063.454022,342.0
19,1771705063.5438237,342.0
20,1771705063.653376,344.0
21,1771705063.749829,344.0
22,1771705063.8590202,344.0
23,1771705063.9559402,344.0
24,1771705064.0575645,342.0
25,1771705064.1523857,344.0
26,1771705064.2492497,340.0
27,1771705064.3423388,344.0
28,1771705064.4630725,342.0
29,1771705064.572866,342.0
30,1771705064.6728795,342.0
31,1771705064.7728806,342.0
32,1771705064.8565629,342.0
33,1771705064.979112,344.0
34,1771705065.0779862,342.0
35,1771705065.1750715,344.0
36,1771705065.2739413,344.0
37,1771705065.3768454,342.0
38,1771705065.4758568,342.0
39,1771705065.5894117,342.0
40,1771705065.683313,344.0
41,1771705065.7772567,344.0
42,1771705065.879143,344.0
43,1771705065.9929147,342.0
44,1771705066.0961547,344.0
45,1771705066.1939194,344.0
46,1771705066.2940333,342.0
47,1771705066.3940284,344.0
48,1771705066.5038033,342.0
49,1771705066.5930753,342.0
50,1771705066.7014096,342.0
51,1771705066.7962701,344.0
52,1771705066.8940427,344.0
53,1771705066.9945695,344.0
54,1771705067.1060407,342.0
55,1771705067.2011597,344.0
56,1771705067.2988977,344.0
57,1771705067.3944414,344.0
58,1771705067.5064292,342.0
59,1771705067.601659,342.0
60,1771705067.712053,342.0
61,1771705067.8127615,342.0
62,1771705067.9042962,344.0
63,1771705068.011572,344.0
64,1771705068.1130078,342.0
65,1771705068.207282,342.0
66,1771705068.3160932,342.0
67,1771705068.4137592,346.0
68,1771705068.5168183,342.0
69,1771705068.6206186,344.0
70,1771705068.7234514,344.0
71,1771705068.82803,344.0
72,1771705068.9295747,344.0
73,1771705069.0291605,342.0
74,1771705069.1311822,342.0
75,1771705069.2340994,342.0
76,1771705069.3371036,344.0
77,1771705069.4329848,342.0
78,1771705069.5353715,342.0
79,1771705069.6340678,340.0
80,1771705069.732908,344.0
81,1771705069.8372505,344.0
82,1771705069.9400444,344.0
83,1771705070.0311751,342.0
84,1771705070.134565,342.0
85,1771705070.236216,344.0
86,1771705070.3341289,344.0
87,1771705070.4380374,344.0
88,1771705070.544552,344.0
89,1771705070.6436822,342.0
90,1771705070.7520602,342.0
91,1771705070.8486927,344.0
92,1771705070.9509792,342.0
93,1771705071.047234,342.0
94,1771705071.142756,344.0
95,1771705071.236245,342.0
96,1771705071.349359,344.0
97,1771705071.448358,342.0
98,1771705071.548861,344.0
99,1771705071.6357496,344.0
100,1771705071.746061,344.0
101,1771705071.8395946,344.0
102,1771705071.9361176,342.0
103,1771705072.0502565,344.0
104,1771705072.1750948,344.0
105,1771705072.294145,342.0
106,1771705072.3965526,344.0
107,1771705072.4941368,344.0
108,1771705072.5987406,344.0
109,1771705072.6979506,342.0
110,1771705072.8068497,344.0
111,1771705072.9050016,342.0
112,1771705073.000051,342.0
113,1771705073.1106646,342.0
114,1771705073.205302,342.0
115,1771705073.299618,344.0
116,1771705073.414175,342.0
117,1771705073.5131974,344.0
118,1771705073.6129158,344.0
119,1771705073.7142873,344.0
120,1771705073.8147871,344.0
121,1771705073.9132547,344.0
122,1771705074.0132573,342.0
123,1771705074.110773,346.0
124,1771705074.2130353,344.0
125,1771705074.313208,342.0
126,1771705074.4152553,344.0
127,1771705074.5163515,342.0
128,1771705074.6153686,344.0
129,1771705074.7133837,344.0
130,1771705074.828238,344.0
131,1771705074.9435754,342.0
132,1771705075.0359726,344.0
133,1771705075.1421402,342.0
134,1771705075.2402325,342.0
135,1771705075.3366067,344.0
136,1771705075.4368877,342.0
137,1771705075.5529172,344.0
138,1771705075.654244,342.0
139,1771705075.7563431,342.0
140,1771705075.8572192,344.0
141,1771705075.9617538,342.0
142,1771705076.0591884,342.0
143,1771705076.1542757,344.0
144,1771705076.260672,342.0
145,1771705076.3553371,342.0
146,1771705076.4647264,344.0
147,1771705076.5601866,342.0
148,1771705076.671169,340.0
149,1771705076.7677493,344.0
150,1771705076.8731973,344.0
151,1771705076.9763913,342.0
152,1771705077.0769124,342.0
153,1771705077.1751373,342.0
154,1771705077.2782514,342.0
155,1771705077.3832047,340.0
156,1771705077.4895773,342.0
157,1771705077.5949793,344.0
158,1771705077.6942377,344.0
159,1771705077.7943308,344.0
160,1771705077.893102,346.0
161,1771705077.9995306,342.0
162,1771705078.0986462,342.0
163,1771705078.1944568,342.0
164,1771705078.2995975,342.0
165,1771705078.4024696,342.0
166,1771705078.4966125,344.0
167,1771705078.6108136,342.0
168,1771705078.7017157,344.0
169,1771705078.8123739,346.0
170,1771705078.9133453,340.0
171,1771705079.0048373,342.0
172,1771705079.10054,342.0
173,1771705079.2106647,344.0
174,1771705079.3065028,342.0
175,1771705079.4027867,342.0
176,1771705079.5064228,342.0
177,1771705079.6162546,342.0
178,1771705079.7130544,342.0
179,1771705079.8133533,344.0
180,1771705079.9151642,344.0
181,1771705080.0193818,342.0
182,1771705080.1225665,344.0
183,1771705080.221268,344.0
184,1771705080.317249,342.0
185,1771705080.414874,344.0
186,1771705080.51912,342.0
187,1771705080.6283183,344.0
188,1771705080.7277362,344.0
189,1771705080.8218038,344.0
190,1771705080.9183874,342.0
191,1771705081.0290651,344.0
192,1771705081.1284356,342.0
193,1771705081.2240226,342.0
194,1771705081.3298733,342.0
195,1771705081.4295187,340.0
196,1771705081.5261793,344.0
197,1771705081.6332653,342.0
198,1771705081.7333078,344.0
199,1771705081.8468084,344.0
200,1771705081.953468,342.0
201,1771705082.0625868,344.0
202,1771705082.1792314,344.0
203,1771705082.2829154,344.0
204,1771705082.3947067,344.0
205,1771705082.4944453,344.0
206,1771705082.6013486,344.0
207,1771705082.698553,344.0
208,1771705082.8133976,344.0
209,1771705082.9058385,344.0
210,1771705083.001602,342.0
211,1771705083.1120567,344.0
212,1771705083.2133882,344.0
213,1771705083.3147535,344.0
214,1771705083.4125588,342.0
215,1771705083.513372,342.0
216,1771705083.603132,342.0
217,1771705083.7134545,342.0
218,1771705083.8204005,344.0
219,1771705083.9167438,342.0
220,1771705084.014464,344.0
221,1771705084.1133606,342.0
222,1771705084.215339,344.0

STATISTICS
samples,223
std_dev,1.1679
range,6.0000
