Visualisation,n,Mean,Median,SD,Min,Max,Range
Arrow,81,19.34,16.86,8.88,7.53,52.75,45.22
Radar,81,19.25,17.09,8.13,6.46,37.3,30.84
Lights,81,21.59,18.23,12.64,2.39,64.65,62.26
Arrow & Radar,81,16.06,15.22,6.55,5.36,38.69,33.34
Arrow & Lights,81,17.21,16.37,8.7,3.22,54.5,51.28
Lights & Radar,81,14.69,13.78,4.85,6.51,27.61,21.1
