PID,Time,TrialIndex,SpawnIndex,AudioIndex,AudioAngle,absError,DistanceFromSource,ResponseTime,Visualisation
46,66.94082,27,2,11,216.2615,143.7385,26.90326,0.2066193,2
46,70.52796,28,1,7,21.84936,21.84936,26.55005,0.2035675,2
46,70.78997,29,1,1,88.19164,88.19164,16.18404,0.2620087,2
46,71.01325,30,1,0,18.50175,18.50175,30.02322,0.2232819,2
46,71.20385,31,2,3,204.0107,155.9893,18.85707,0.1905975,2
46,71.43582,32,1,11,95.6778,95.6778,15.36498,0.2319717,2
46,71.7151,33,0,4,41.63434,41.63434,15.32817,0.2792816,2
46,71.95075,34,0,0,27.24948,27.24948,22.47039,0.2356491,2
46,79.78841,35,0,12,121.007,121.007,10.72659,0.2362595,2
46,79.99918,36,1,3,85.60553,85.60553,6.921634,0.2107697,2
46,80.20636,37,2,16,253.1191,106.8809,13.9554,0.2071838,2
46,80.4007,38,1,8,76.94609,76.94609,19.80995,0.1943359,2
46,80.59525,39,1,14,82.55152,82.55152,22.11843,0.1945496,2
46,80.79005,40,1,16,78.96735,78.96735,12.19184,0.1948013,2
46,80.96834,41,2,14,197.2287,162.7713,6.113081,0.1782913,2
46,83.90632,42,0,6,55.26378,55.26378,8.015159,0.231842,2
46,84.2805,43,1,5,102.3661,102.3661,16.01495,0.3741837,2
46,84.56553,44,2,2,206.7893,153.2107,23.95248,0.2850266,2
46,84.78983,45,0,2,168.432,168.432,5.441557,0.2243042,2
46,85.01701,46,2,15,214.2602,145.7398,17.51606,0.2271729,2
46,85.22626,47,1,15,80.32211,80.32211,11.12873,0.2092514,2
46,85.4206,48,1,9,150.5426,150.5426,5.989221,0.1943436,2
47,17.34211,0,2,0,313.3774,46.62259,7.597798,0.1090107,1
47,17.63069,1,0,16,229.3807,130.6193,5.963792,0.2885799,1
47,17.83778,2,0,5,318.5687,41.43127,8.127142,0.2070827,1
47,18.07687,3,1,9,3.734335,3.734335,5.918909,0.23909,1
47,18.29979,4,2,6,39.19678,39.19678,13.44735,0.2229195,1
47,18.53672,5,0,4,273.9725,86.02753,15.58261,0.2369308,1
47,18.73515,6,1,10,152.5718,152.5718,1.629939,0.1984348,1
47,20.76661,7,0,2,41.93644,41.93644,5.357525,0.3540993,1
47,20.99682,8,2,14,48.07326,48.07326,5.998325,0.2302113,1
47,21.41171,9,0,9,93.96864,93.96864,8.953117,0.4148865,1
47,21.72505,10,0,11,25.97714,25.97714,10.50915,0.3133392,1
47,22.03845,11,1,0,290.1352,69.86481,30.25581,0.3134022,1
47,22.33844,12,0,6,297.0663,62.93375,8.25127,0.2999935,1
47,22.65237,13,0,7,319.4221,40.57785,18.24267,0.3139229,1
47,24.18615,14,2,3,98.60504,98.60504,18.64906,0.3291912,1
47,24.44169,15,2,16,87.33656,87.33656,13.78952,0.2555351,1
47,24.60826,16,0,12,317.5522,42.44778,10.84635,0.1665726,1
47,24.83628,17,2,8,98.44809,98.44809,5.769314,0.2280178,1
47,25.02803,18,1,1,15.56142,15.56142,16.18159,0.1917496,1
47,25.2152,19,2,13,269.3458,90.65424,3.372603,0.1871681,1
47,25.42702,20,0,0,281.4297,78.57031,22.69559,0.2118263,1
47,29.46774,21,2,2,55.76497,55.76497,23.90229,1.883022,1
