sample,timestamp,angle
0,1771704924.823283,342.0
1,1771704924.923493,344.0
2,1771704925.0330067,344.0
3,1771704925.1569498,342.0
4,1771704925.275397,342.0
5,1771704925.3956754,342.0
6,1771704925.5017211,344.0
7,1771704925.6146352,342.0
8,1771704925.725566,344.0
9,1771704925.8627198,344.0
10,1771704925.9626749,342.0
11,1771704926.0996835,344.0
12,1771704926.2098703,342.0
13,1771704926.330097,344.0
14,1771704926.4348009,342.0
15,1771704926.5660207,342.0
16,1771704926.674137,344.0
17,1771704926.7756474,342.0
18,1771704926.8819988,344.0
19,1771704926.976161,342.0
20,1771704927.0847309,342.0
21,1771704927.180523,344.0
22,1771704927.2858756,342.0
23,1771704927.3887284,342.0
24,1771704927.4811711,342.0
25,1771704927.5944507,344.0
26,1771704927.6878302,344.0
27,1771704927.7865114,344.0
28,1771704927.886567,342.0
29,1771704927.9954655,342.0
30,1771704928.0951698,344.0
31,1771704928.1990669,342.0
32,1771704928.314444,342.0
33,1771704928.4344943,344.0
34,1771704928.593615,342.0
35,1771704928.6915898,344.0
36,1771704928.7875316,342.0
37,1771704928.8854847,344.0
38,1771704928.991197,342.0
39,1771704929.091382,342.0
40,1771704929.1854568,342.0
41,1771704929.2976155,342.0
42,1771704929.3954108,344.0
43,1771704929.4979174,344.0
44,1771704929.5976107,344.0
45,1771704929.6953511,344.0
46,1771704929.7925587,344.0
47,1771704929.8917599,344.0
48,1771704930.000473,344.0
49,1771704930.0983005,344.0
50,1771704930.1955488,344.0
51,1771704930.2898095,344.0
52,1771704930.3969305,344.0
53,1771704930.505117,344.0
54,1771704930.606324,344.0
55,1771704930.7099814,342.0
56,1771704930.8114758,344.0
57,1771704930.9091797,342.0
58,1771704931.0102904,344.0
59,1771704931.1145945,344.0
60,1771704931.2070465,342.0
61,1771704931.3153565,342.0
62,1771704931.4145887,344.0
63,1771704931.5168471,344.0
64,1771704931.6268528,344.0
65,1771704931.727527,344.0
66,1771704931.8268619,344.0
67,1771704931.9153652,344.0
68,1771704932.0220592,344.0
69,1771704932.1314592,346.0
70,1771704932.233492,342.0
71,1771704932.3393695,344.0
72,1771704932.435633,340.0
73,1771704932.5346353,342.0
74,1771704932.645671,342.0
75,1771704932.7466261,344.0
76,1771704932.8466675,342.0
77,1771704932.9456267,342.0
78,1771704933.0456805,344.0
79,1771704933.1469452,342.0
80,1771704933.2454994,342.0
81,1771704933.3492131,344.0
82,1771704933.447408,344.0
83,1771704933.5531738,342.0
84,1771704933.6523294,342.0
85,1771704933.754453,344.0
86,1771704933.8511052,344.0
87,1771704933.9470038,342.0
88,1771704934.0455964,342.0
89,1771704934.1516526,344.0
90,1771704934.2554734,342.0
91,1771704934.3779614,342.0
92,1771704934.4832141,342.0
93,1771704934.5860157,344.0
94,1771704934.6832411,342.0
95,1771704934.7876534,342.0
96,1771704934.8858001,342.0
97,1771704934.9853804,342.0
98,1771704935.0839145,342.0
99,1771704935.1837766,344.0
100,1771704935.285523,344.0
101,1771704935.3864105,344.0
102,1771704935.485852,344.0
103,1771704935.5854783,342.0
104,1771704935.6846166,342.0
105,1771704935.789139,344.0
106,1771704935.8867376,344.0
107,1771704935.9955974,344.0
108,1771704936.1016428,344.0
109,1771704936.213583,344.0
110,1771704936.3157434,342.0
111,1771704936.419429,340.0
112,1771704936.5160463,342.0
113,1771704936.618641,344.0
114,1771704936.719333,344.0
115,1771704936.8269997,344.0
116,1771704936.9267995,344.0
117,1771704937.029486,342.0

STATISTICS
samples,118
std_dev,1.1005
range,6.0000
