sample,timestamp,angle
0,1771705025.9058533,342.0
1,1771705026.0122476,342.0
2,1771705026.1193535,344.0
3,1771705026.222711,342.0
4,1771705026.338606,344.0
5,1771705026.4563868,342.0
6,1771705026.5603745,346.0
7,1771705026.6623003,346.0
8,1771705026.7762449,344.0
9,1771705026.8864937,344.0
10,1771705027.0085263,342.0
11,1771705027.1258442,342.0
12,1771705027.242143,342.0
13,1771705027.3662715,344.0
14,1771705027.4803345,344.0
15,1771705027.5881095,344.0
16,1771705027.7079272,344.0
17,1771705027.8206177,344.0
18,1771705027.9250808,344.0
19,1771705028.0311477,342.0
20,1771705028.130405,342.0
21,1771705028.232934,344.0
22,1771705028.3282404,344.0
23,1771705028.4391093,344.0
24,1771705028.548932,344.0
25,1771705028.7060184,342.0
26,1771705028.8160076,344.0
27,1771705028.9158025,344.0
28,1771705029.026762,344.0
29,1771705029.137138,344.0
30,1771705029.2361326,344.0
31,1771705029.3380978,342.0
32,1771705029.4360764,342.0
33,1771705029.5390074,342.0
34,1771705029.6472893,342.0
35,1771705029.7451148,340.0
36,1771705029.8460925,346.0
37,1771705029.9481196,344.0
38,1771705030.0479827,344.0
39,1771705030.1451924,344.0
40,1771705030.2536466,342.0
41,1771705030.3560157,342.0
42,1771705030.4459062,344.0
43,1771705030.554799,344.0
44,1771705030.662129,342.0
45,1771705030.7630136,342.0
46,1771705030.8560152,344.0
47,1771705030.9619126,344.0
48,1771705031.056875,344.0
49,1771705031.1835752,344.0
50,1771705031.2859595,342.0
51,1771705031.3861651,342.0
52,1771705031.4862878,342.0
53,1771705031.589059,344.0
54,1771705031.683787,342.0
55,1771705031.798261,342.0
56,1771705031.8971162,344.0
57,1771705031.9981656,344.0
58,1771705032.098621,342.0
59,1771705032.1960928,342.0
60,1771705032.3056033,344.0
61,1771705032.41051,344.0
62,1771705032.5012736,342.0
63,1771705032.613128,344.0
64,1771705032.710288,342.0
65,1771705032.8210857,342.0
66,1771705032.9179895,342.0
67,1771705033.0180988,342.0
68,1771705033.1195903,342.0
69,1771705033.2173338,344.0
70,1771705033.3240697,344.0
71,1771705033.4260678,344.0
72,1771705033.5190473,344.0
73,1771705033.6176023,344.0
74,1771705033.7260187,344.0
75,1771705033.8267817,342.0
76,1771705033.926708,344.0
77,1771705034.0274885,342.0
78,1771705034.1292522,344.0
79,1771705034.2292593,342.0
80,1771705034.3361735,342.0
81,1771705034.4393213,342.0
82,1771705034.5382729,342.0
83,1771705034.6399004,342.0
84,1771705034.7360206,342.0
85,1771705034.8361738,342.0
86,1771705034.9405692,342.0
87,1771705035.0372522,342.0
88,1771705035.1469169,342.0
89,1771705035.2455297,342.0
90,1771705035.3451188,342.0
91,1771705035.4559946,342.0
92,1771705035.5563323,342.0
93,1771705035.6594884,342.0
94,1771705035.758216,342.0
95,1771705035.8583937,342.0
96,1771705035.9653108,344.0
97,1771705036.0663142,344.0
98,1771705036.1661406,344.0
99,1771705036.265272,344.0
100,1771705036.3647017,344.0
101,1771705036.471388,342.0
102,1771705036.5687008,344.0
103,1771705036.6711762,342.0
104,1771705036.773002,344.0
105,1771705036.872832,344.0
106,1771705036.9782102,342.0
107,1771705037.0784585,344.0
108,1771705037.1786375,344.0
109,1771705037.2774103,344.0
110,1771705037.3764267,342.0
111,1771705037.4773939,344.0
112,1771705037.5855677,342.0
113,1771705037.6866813,344.0
114,1771705037.7860956,344.0
115,1771705037.8866124,342.0
116,1771705037.986429,344.0
117,1771705038.081302,342.0
118,1771705038.1939392,344.0
119,1771705038.2934587,342.0
120,1771705038.3964324,342.0
121,1771705038.495965,342.0
122,1771705038.597373,342.0
123,1771705038.7019315,344.0
124,1771705038.8075256,344.0
125,1771705038.9060395,342.0
126,1771705039.0051904,344.0
127,1771705039.1101453,344.0
128,1771705039.201924,344.0
129,1771705039.3112023,342.0
130,1771705039.4268422,340.0
131,1771705039.548379,342.0
132,1771705039.6629908,342.0
133,1771705039.7607458,344.0
134,1771705039.8724566,344.0
135,1771705039.9708242,344.0
136,1771705040.064307,342.0
137,1771705040.1736887,342.0
138,1771705040.27308,342.0
139,1771705040.3774245,344.0
140,1771705040.4822137,344.0
141,1771705040.576581,342.0
142,1771705040.6865559,344.0
143,1771705040.7870898,344.0
144,1771705040.8960934,342.0
145,1771705040.9786336,342.0
146,1771705041.090614,344.0
147,1771705041.1911108,342.0
148,1771705041.2995808,342.0
149,1771705041.4066002,344.0
150,1771705041.5136352,342.0
151,1771705041.614525,344.0
152,1771705041.7162695,342.0
153,1771705041.8216233,344.0
154,1771705041.9207108,344.0
155,1771705042.0220234,344.0
156,1771705042.1178877,344.0
157,1771705042.2204127,344.0
158,1771705042.3312309,342.0
159,1771705042.4267726,344.0
160,1771705042.5264444,344.0
161,1771705042.626759,344.0
162,1771705042.734186,342.0
163,1771705042.8406332,340.0

STATISTICS
samples,164
std_dev,1.1402
range,6.0000
