sample,timestamp,angle
0,1771704975.7040222,344.0
1,1771704975.809667,342.0
2,1771704975.9272647,342.0
3,1771704976.0361533,342.0
4,1771704976.1429045,342.0
5,1771704976.2629251,338.0
6,1771704976.3692787,344.0
7,1771704976.4795187,340.0
8,1771704976.5953605,342.0
9,1771704976.7051718,342.0
10,1771704976.810509,342.0
11,1771704976.9151642,342.0
12,1771704977.043093,340.0
13,1771704977.167417,342.0
14,1771704977.2781022,344.0
15,1771704977.3851469,344.0
16,1771704977.5149662,342.0
17,1771704977.636094,342.0
18,1771704977.7346635,342.0
19,1771704977.8361547,344.0
20,1771704977.9348695,342.0
21,1771704978.044702,342.0
22,1771704978.1447587,342.0
23,1771704978.2527616,344.0
24,1771704978.3547482,344.0
25,1771704978.4444275,344.0
26,1771704978.5547376,342.0
27,1771704978.6548831,344.0
28,1771704978.7567372,342.0
29,1771704978.855783,342.0
30,1771704978.9645092,342.0
31,1771704979.0748546,344.0
32,1771704979.1909573,344.0
33,1771704979.294937,342.0
34,1771704979.39768,344.0
35,1771704979.496984,344.0
36,1771704979.6007204,344.0
37,1771704979.7275746,342.0
38,1771704979.837151,344.0
39,1771704979.9405103,340.0
40,1771704980.0406406,342.0
41,1771704980.1420941,342.0
42,1771704980.2558784,342.0
43,1771704980.3559005,344.0
44,1771704980.4578917,342.0
45,1771704980.554795,342.0
46,1771704980.6559021,344.0
47,1771704980.8657544,344.0
48,1771704980.9683952,342.0
49,1771704981.0683923,342.0
50,1771704981.1746042,342.0
51,1771704981.2806642,344.0
52,1771704981.3830128,342.0
53,1771704981.4836187,342.0
54,1771704981.5867658,344.0
55,1771704981.6842494,342.0
56,1771704981.788714,342.0
57,1771704981.8839242,344.0
58,1771704981.9949038,342.0
59,1771704982.096571,342.0
60,1771704982.1986387,344.0
61,1771704982.29681,342.0
62,1771704982.3933783,340.0
63,1771704982.5108147,342.0
64,1771704982.6119049,344.0
65,1771704982.708104,344.0
66,1771704982.804971,344.0
67,1771704982.9145312,342.0
68,1771704983.014643,344.0
69,1771704983.116817,342.0
70,1771704983.2159626,346.0
71,1771704983.3195462,344.0
72,1771704983.417512,342.0
73,1771704983.52945,342.0
74,1771704983.6239617,344.0
75,1771704983.7269704,344.0
76,1771704983.829407,344.0
77,1771704983.9267776,342.0
78,1771704984.0318537,344.0
79,1771704984.1339705,344.0
80,1771704984.2335665,344.0
81,1771704984.3347213,344.0
82,1771704984.4359956,344.0
83,1771704984.5397768,344.0
84,1771704984.6359773,342.0
85,1771704984.7360306,344.0
86,1771704984.84365,342.0
87,1771704984.9442685,342.0
88,1771704985.0439072,344.0
89,1771704985.144304,342.0
90,1771704985.2481763,344.0
91,1771704985.3360493,344.0
92,1771704985.4497838,342.0
93,1771704985.544971,344.0
94,1771704985.6372945,344.0
95,1771704985.7492194,342.0
96,1771704985.8445406,344.0
97,1771704985.953161,344.0
98,1771704986.0548098,340.0
99,1771704986.154665,342.0
100,1771704986.2550278,344.0
101,1771704986.3568103,344.0
102,1771704986.4670842,344.0
103,1771704986.5804563,344.0
104,1771704986.688483,342.0
105,1771704986.7909663,342.0
106,1771704986.894765,342.0
107,1771704986.9967268,344.0
108,1771704987.1010656,344.0
109,1771704987.203903,346.0
110,1771704987.3019211,344.0
111,1771704987.3979292,344.0
112,1771704987.4950483,344.0
113,1771704987.6034606,344.0
114,1771704987.6980562,344.0
115,1771704987.812776,342.0
116,1771704987.9168775,344.0
117,1771704988.0160325,344.0
118,1771704988.1151369,342.0
119,1771704988.220153,342.0
120,1771704988.3269982,344.0
121,1771704988.4286475,344.0
122,1771704988.5241652,344.0
123,1771704988.6208372,344.0
124,1771704988.734817,344.0
125,1771704988.8350759,342.0
126,1771704988.938631,342.0
127,1771704989.0357378,342.0
128,1771704989.146282,344.0
129,1771704989.2551155,344.0
130,1771704989.35883,342.0
131,1771704989.4587243,344.0
132,1771704989.5672581,342.0
133,1771704989.665108,342.0
134,1771704989.777007,344.0
135,1771704989.8801584,344.0
136,1771704989.9988594,342.0
137,1771704990.104869,344.0
138,1771704990.1987891,344.0
139,1771704990.3127177,344.0
140,1771704990.4048586,342.0

STATISTICS
samples,141
std_dev,1.2554
range,8.0000
